,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Sentiment_Scores,Predicted_lables
12,\xe2\x9c\x88\xef\xb8\x8fPLEA FROM PASSENGERS: PLEASE do the right thing \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb @SouthwestAir and EXTEND TRAVEL FUND expiration dates for the MILLIONS OF DOLLARS in travelers\xe2\x80\x99 unused funds that are expiring in the next few weeks and summer months \xf0\x9f\x92\xb2\xf0\x9f\x92\xb2\xf0\x9f\x92\xb2 #coronavirustravel #SouthwestAirlines,"[('fplea', 'NN'), ('from', 'IN'), ('passeng', 'NN'), ('pleas', 'NNS'), ('right', 'JJ'), ('thing', 'NN'), ('southwestair', 'NN'), ('extend', 'VBP'), ('travel', 'NN'), ('fund', 'NN'), ('expir', 'NN'), ('date', 'NN'), ('million', 'CD'), ('dollar', 'NN'), ('travel', 'NN'), ('unus', 'JJ'), ('fund', 'NN'), ('expir', 'VBD'), ('next', 'JJ'), ('week', 'NN'), ('summer', 'NN'), ('month', 'NN'), ('coronavirustravel', 'NN'), ('southwestairlin', 'NN')]",fplea passeng plea right thing southwestair extend travel fund expir date million dollar travel unus fund expir next week summer month coronavirustravel southwestairlin,"{'polarity': 0.14285714285714285, 'subjectivity': 0.26785714285714285}",Positive
13,@NBCPolitics @CBSThisMorning Damn! Republicans &amp; @Scotus really Are responsible...,"[('nbcpolit', 'JJ'), ('cbsthismorn', 'VBN'), ('damn', 'JJ'), ('republican', 'JJ'), ('scotu', 'NN'), ('realli', 'NN'), ('respons', 'NNS')]",nbcpolit cbsthismorn damn republican scotu realli respons,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
14,This thread,"[('thi', 'NNS'), ('thread', 'VBP')]",thi thread,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
15,https://t.co/Y8LmCODpgD,"[('http', 'NN'), ('lmcodpgd', 'NN')]",http lmcodpgd,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
16,me working on a Saturday \xf0\x9f\xa5\xba\xf0\x9f\xa4\xaf,"[('work', 'NN'), ('saturday', 'NN')]",work saturday,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
17,The Coronavirus will go down in U.S. history as the Great Toilet Paper Shortage.,"[('coronaviru', 'NN'), ('histori', 'VBZ'), ('great', 'JJ'), ('toilet', 'JJ'), ('paper', 'NN'), ('shortag', 'NN')]",coronaviru histori great toilet paper shortag,"{'polarity': 0.38333333333333336, 'subjectivity': 0.375}",Positive
18,But since y\xe2\x80\x99all know every damn thing where\xe2\x80\x99s the covid cure mf,"[('sinc', 'NN'), ('know', 'VBP'), ('everi', 'RB'), ('damn', 'JJ'), ('thing', 'NN'), ('covid', 'NN'), ('cure', 'NN')]",sinc know everi damn thing covid cure,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
19,@IndianExpress @IndiaToday #COVID19 https://t.co/GVpvHqMB3w,"[('indianexpress', 'NN'), ('indiatoday', 'NN'), ('covid', 'VBP'), ('http', 'NN'), ('gvpvhqmb', 'NN')]",indianexpress indiatoday covid http gvpvhqmb,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
20,this literally happened to me earlier today and the dentist asked \xe2\x80\x9cso what do you think about that corona virus\xe2\x80\x9d \xf0\x9f\x98\x90,"[('liter', 'NN'), ('happen', 'VB'), ('earlier', 'JJR'), ('today', 'NN'), ('dentist', 'VBP'), ('ask', 'NN'), ('think', 'VBP'), ('corona', 'NN'), ('viru', 'NN')]",liter happen early today dentist ask think corona viru,"{'polarity': 0.1, 'subjectivity': 0.3}",Positive
21,Please 2021 \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbb,"[('pleas', 'NNS')]",plea,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
22,The virus comes from China the beer \xf0\x9f\x8d\xba come from the US just because they sound the same doesn\xe2\x80\x99t mean they are the same one u drink another is Contagious \xf0\x9f\x98\xb7,"[('viru', 'JJ'), ('come', 'VBN'), ('china', 'NNS'), ('beer', 'NN'), ('come', 'VBP'), ('sound', 'JJ'), ('mean', 'JJ'), ('drink', 'NN'), ('anoth', 'DT'), ('contagi', 'NN')]",viru come china beer come sound mean drink anoth contagi,"{'polarity': 0.04375000000000001, 'subjectivity': 0.54375}",Positive
23,Health and safety come first. Proud to work here.,"[('health', 'NN'), ('safeti', 'NN'), ('come', 'VBP'), ('first', 'JJ'), ('proud', 'JJ'), ('work', 'NN')]",health safeti come first proud work,"{'polarity': 0.525, 'subjectivity': 0.6666666666666666}",Positive
24,@FPiednoel @realDonaldTrump https://t.co/3xoPrHIBSy,"[('fpiednoel', 'JJ'), ('realdonaldtrump', 'NN'), ('http', 'NN'), ('xoprhibsi', 'NN')]",fpiednoel realdonaldtrump http xoprhibsi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
25,Can someone with the corona virus spit in her mouth,"[('someon', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('spit', 'NN'), ('mouth', 'NN')]",someon corona viru spit mouth,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
