,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Sentiment_Scores,Predicted_lables
156,The NEW..?,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
157,The @Lakers trainer doing her Corona virus thing https://t.co/ZNIcYV5oXw,"[('laker', 'NN'), ('trainer', 'NN'), ('corona', 'VBP'), ('viru', 'JJ'), ('thing', 'NN'), ('http', 'NN'), ('znicyv', 'NN')]",laker trainer corona viru thing http znicyv,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
158,California to give cash payments to immigrants hurt by coronavirus https://t.co/9sfnbb2sHG Can\xe2\x80\x99t be illegal and essential at the same time!,"[('california', 'NNS'), ('give', 'VBP'), ('cash', 'NN'), ('payment', 'NN'), ('immigr', 'JJ'), ('hurt', 'NN'), ('coronaviru', 'NN'), ('http', 'NN'), ('sfnbb', 'NN'), ('illeg', 'NN'), ('essenti', 'NN'), ('time', 'NN')]",california give cash payment immigr hurt coronaviru http sfnbb illeg essenti time,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
159,I tried to shove this (XFX Radeon 580 XXX edition) into that (Lenovo C530 small form-factor gaming PC)  It \xf0\x9f\x91\x89     Di\xe2\x80\xa6 https://t.co/sierkVbaGC,"[('tri', 'NN'), ('shove', 'VB'), ('radeon', 'NN'), ('edit', 'NN'), ('lenovo', 'VBP'), ('small', 'JJ'), ('form', 'NN'), ('factor', 'NN'), ('game', 'NN'), ('http', 'NN'), ('sierkvbagc', 'NN')]",tri shove radeon edit lenovo small form factor game http sierkvbagc,"{'polarity': -0.325, 'subjectivity': 0.4}",Negative
160,White people gonna find a cure now we good #iplaytoomuch #COVID2019 #sheesh,"[('white', 'JJ'), ('peopl', 'NN'), ('find', 'VB'), ('cure', 'NN'), ('good', 'JJ'), ('iplaytoomuch', 'JJ'), ('covid', 'NN'), ('sheesh', 'NN')]",white peopl find cure good iplaytoomuch covid sheesh,"{'polarity': 0.35, 'subjectivity': 0.30000000000000004}",Positive
161,in 19 days it went from 5 to 321 in santa clara county* https://t.co/tNkDCeAjTk,"[('day', 'NN'), ('went', 'VBD'), ('santa', 'JJ'), ('clara', 'NN'), ('counti', 'NN'), ('http', 'NN'), ('tnkdceajtk', 'NN')]",day go santa clara counti http tnkdceajtk,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
162,People trying to pivot and blame China want you to forget how bad we fucked up our response to this outbreak.   Don\xe2\x80\xa6 https://t.co/1hsolaQNlr,"[('peopl', 'NN'), ('tri', 'NN'), ('pivot', 'NN'), ('blame', 'VBP'), ('china', 'NN'), ('want', 'VBP'), ('forget', 'NN'), ('fuck', 'JJ'), ('respons', 'NNS'), ('outbreak', 'VBP'), ('http', 'JJ'), ('hsolaqnlr', 'NN')]",peopl tri pivot blame china want forget fuck respons outbreak http hsolaqnlr,"{'polarity': -0.4, 'subjectivity': 0.6}",Negative
163,Are there any other math geeks out there bothered but this sign? #sfbayarea #pythagoreantheorem #marinagreen #covid19 @ Marina Green Park https://t.co/oawLOfltn7,"[('math', 'NN'), ('geek', 'NN'), ('bother', 'CC'), ('sign', 'NN'), ('sfbayarea', 'JJ'), ('pythagoreantheorem', 'NN'), ('marinagreen', 'NN'), ('covid', 'JJ'), ('marina', 'NN'), ('green', 'JJ'), ('park', 'NN'), ('http', 'NN'), ('oawlofltn', 'NN')]",math geek bother sign sfbayarea pythagoreantheorem marinagreen covid marina green park http oawlofltn,"{'polarity': -0.2, 'subjectivity': 0.3}",Negative
164,New guidelines for states to reopen good but we know California is Not going Reopen anytime soon #Covid_19 #californialockdown #CoronavirusUSA,"[('guidelin', 'NN'), ('state', 'NN'), ('reopen', 'VB'), ('good', 'JJ'), ('know', 'VB'), ('california', 'NN'), ('go', 'VBP'), ('reopen', 'JJ'), ('anytim', 'RB'), ('soon', 'RB'), ('covid', 'JJ'), ('californialockdown', 'NN'), ('coronavirususa', 'NN')]",guidelin state reopen good know california go reopen anytim soon covid californialockdown coronavirususa,"{'polarity': 0.7, 'subjectivity': 0.6000000000000001}",Positive
165,#Cheniere says #coronavirus has taken a toll on the #LNG market and now expects only 15 mtpa of #FIDs in 2020 versus prior expectations of ~ 100 mtpa. #USLNG #ONGT $LNG https://t.co/Vy5LFQsrOi,"[('chenier', 'NNS'), ('say', 'VBP'), ('coronaviru', 'NN'), ('taken', 'VBN'), ('toll', 'NN'), ('market', 'NN'), ('expect', 'VBP'), ('mtpa', 'NN'), ('fid', 'NN'), ('versu', 'NN'), ('prior', 'RB'), ('expect', 'VBP'), ('mtpa', 'JJ'), ('uslng', 'JJ'), ('ongt', 'NN'), ('http', 'NN'), ('lfqsroi', 'NN')]",chenier say coronaviru take toll market expect mtpa fid versu prior expect mtpa uslng ongt http lfqsroi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
166,Noteworthy,"[('noteworthi', 'NN')]",noteworthi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
167,my mom has been non stop alternating between emailing me safety precautions about the coronavirus but also possible graduation dresses,"[('stop', 'VB'), ('altern', 'JJ'), ('email', 'NN'), ('safeti', 'NN'), ('precaut', 'NN'), ('coronaviru', 'NN'), ('also', 'RB'), ('possibl', 'VBZ'), ('graduat', 'NN'), ('dress', 'NN')]",stop altern email safeti precaut coronaviru also possibl graduat dress,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
168,https://t.co/6KbPWRoUd1,"[('http', 'NN'), ('kbpwroud', 'NN')]",http kbpwroud,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
169,Full of lies!!!! The lies need to be stopped! Too many fact checkers calling him out!,"[('full', 'JJ'), ('lie', 'NN'), ('lie', 'NN'), ('need', 'VBP'), ('stop', 'VB'), ('mani', 'NN'), ('fact', 'NN'), ('checker', 'NN'), ('call', 'NN')]",full lie lie need stop mani fact checker call,"{'polarity': 0.35, 'subjectivity': 0.55}",Positive
170,I love this scene from Annie Hall.,"[('love', 'VB'), ('scene', 'NN'), ('anni', 'IN'), ('hall', 'NN')]",love scene anni hall,"{'polarity': 0.5, 'subjectivity': 0.6}",Positive
171,@The_Mrthibs @MikeT_AisA @Sunny64498448 @RealCandaceO We knew way b4 response...lots of reading. Look at reference materials from China &amp; dates https://t.co/AuXmLA48lO,"[('mrthib', 'NN'), ('miket', 'NN'), ('aisa', 'NN'), ('sunni', 'NN'), ('realcandaceo', 'NN'), ('knew', 'VBD'), ('respons', 'NNS'), ('lot', 'NN'), ('read', 'VBP'), ('look', 'NN'), ('refer', 'VBP'), ('materi', 'JJ'), ('china', 'NN'), ('date', 'NN'), ('http', 'NN'), ('auxmla', 'NN')]",mrthib miket aisa sunni realcandaceo know respons lot read look refer materi china date http auxmla,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
172,Ohhhh I ain\xe2\x80\x99t going home no time soon...,"[('ohhhh', 'NN'), ('go', 'VB'), ('home', 'NN'), ('time', 'NN'), ('soon', 'RB')]",ohhhh go home time soon,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
173,@realDonaldTrump @FLOTUS The Coronavirus is NOT contained!  It\xe2\x80\x99s actually spreading in the USA! I pray that Trump a\xe2\x80\xa6 https://t.co/q0ER2X6mjn,"[('realdonaldtrump', 'NN'), ('flotu', 'NN'), ('coronaviru', 'NN'), ('contain', 'VBP'), ('actual', 'JJ'), ('spread', 'NN'), ('pray', 'NN'), ('trump', 'NN'), ('http', 'NN')]",realdonaldtrump flotu coronaviru contain actual spread pray trump http,"{'polarity': 0.0, 'subjectivity': 0.1}",Neutral
174,STOP GOING OUT FOR UNNECESSARY FUCKEN REASONS YOU DUMBASSES we love suzanne\xf0\x9f\xa5\xba,"[('stop', 'NN'), ('go', 'VBP'), ('unnecessari', 'JJ'), ('fucken', 'JJ'), ('reason', 'NN'), ('dumbass', 'NN'), ('love', 'NN'), ('suzann', 'NN')]",stop go unnecessari fucken reason dumbass love suzann,"{'polarity': 0.5, 'subjectivity': 0.6}",Positive
175,This is how a leader leads!!!  You might want to pay attention Alex! @10DowningStreet   \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc,"[('thi', 'JJ'), ('leader', 'NN'), ('lead', 'NN'), ('might', 'MD'), ('want', 'VB'), ('attent', 'JJ'), ('alex', 'JJ'), ('downingstreet', 'NN')]",thi leader lead might want attent alex downingstreet,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
176,https://t.co/BNmKFZkPZd,"[('http', 'NN'), ('bnmkfzkpzd', 'NN')]",http bnmkfzkpzd,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
177,why is it that these seniors look way older than the seniors here in town ? \xf0\x9f\x98\xb3,"[('senior', 'JJ'), ('look', 'NN'), ('older', 'JJR'), ('senior', 'JJ'), ('town', 'NN')]",senior look old senior town,"{'polarity': 0.1, 'subjectivity': 0.2}",Positive
178,So the #coronavirus East egg hunt went GREAT. https://t.co/QB9PWCLBDW,"[('coronaviru', 'NN'), ('east', 'NN'), ('hunt', 'NN'), ('went', 'VBD'), ('great', 'JJ'), ('http', 'NN'), ('pwclbdw', 'NN')]",coronaviru east hunt go great http pwclbdw,"{'polarity': 0.8, 'subjectivity': 0.75}",Positive
179,In this case CV 19 is a sweet angel if we can be brought back from the brink of disaster of our own making. https://t.co/PjK3fQktrV,"[('case', 'NN'), ('sweet', 'NN'), ('angel', 'NN'), ('brought', 'VBD'), ('back', 'RP'), ('brink', 'NN'), ('disast', 'NN'), ('make', 'VBP'), ('http', 'NN'), ('fqktrv', 'NN')]",case sweet angel bring back brink disast make http fqktrv,"{'polarity': 0.175, 'subjectivity': 0.325}",Positive
180,@VaugeP @lee_randal @JohnCornyn https://t.co/5PWpfhAHLm,"[('vaugep', 'NN'), ('randal', 'NN'), ('johncornyn', 'NN'), ('http', 'NN'), ('pwpfhahlm', 'NN')]",vaugep randal johncornyn http pwpfhahlm,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
181,Expendable populations. This is very bad.,"[('expend', 'VB'), ('popul', 'NN'), ('thi', 'NN')]",expend popul thi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
182,Bruh I\xe2\x80\x99m sick af I\xe2\x80\x99m starting to think I got the corona virus but it can\xe2\x80\x99t be cause I only drink modelos \xf0\x9f\xa7\x90,"[('bruh', 'NN'), ('sick', 'JJ'), ('start', 'NN'), ('think', 'VBP'), ('corona', 'NN'), ('viru', 'NN'), ('caus', 'NN'), ('drink', 'VBP'), ('modelo', 'NN')]",bruh sick start think corona viru caus drink modelo,"{'polarity': -0.7142857142857143, 'subjectivity': 0.8571428571428571}",Negative
183,You can definitely tell who at Walmart is grocery shopping and who is prepping for the corona virus \xf0\x9f\x99\x84 I JUST WANT GROCERIES,"[('definit', 'NN'), ('tell', 'VB'), ('walmart', 'JJ'), ('groceri', 'NN'), ('shop', 'NN'), ('prep', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('just', 'RB'), ('want', 'VBP'), ('groceri', 'NN')]",definit tell walmart groceri shop prep corona viru want groceri,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
184,\xe2\x80\x9cCall you Corona cuz you were the virus in my life\xe2\x80\x9d https://t.co/lhHiuNErBm,"[('ccall', 'NN'), ('corona', 'NN'), ('viru', 'JJ'), ('life', 'NN'), ('http', 'NN'), ('lhhiunerbm', 'NN')]",ccall corona viru life http lhhiunerbm,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
185,https://t.co/qVh7sYTQkM,"[('http', 'NN'), ('sytqkm', 'NN')]",http sytqkm,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
186,@stinson Pre Covid-19 vax biz: camera drone hire in all the top global Instagram sites with remote app.  Local authorities would have to meter use obviously.,"[('stinson', 'NN'), ('covid', 'NN'), ('camera', 'NN'), ('drone', 'NN'), ('hire', 'NN'), ('global', 'JJ'), ('instagram', 'NN'), ('site', 'NN'), ('remot', 'JJ'), ('local', 'JJ'), ('author', 'NN'), ('would', 'MD'), ('meter', 'VB'), ('obvious', 'JJ')]",stinson covid camera drone hire global instagram site remot local author would meter obvious,"{'polarity': 0.0, 'subjectivity': 0.16666666666666666}",Neutral
187,@JohnOehlers12  The hits keep on coming  @GavinNewsom has no problem with this.,"[('johnoehl', 'NN'), ('hit', 'VBD'), ('keep', 'JJ'), ('come', 'NN'), ('gavinnewsom', 'NN'), ('problem', 'NN')]",johnoehl hit keep come gavinnewsom problem,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
188,Well said!,"[('well', 'RB'), ('said', 'VBD')]",well say,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
189,Everyone avoiding drinking corona beer cause the corona virus.... little do we know that\xe2\x80\x99s probably the secret cure \xf0\x9f\x99\x84,"[('everyon', 'NN'), ('avoid', 'NN'), ('drink', 'NN'), ('corona', 'VBP'), ('beer', 'NN'), ('caus', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('littl', 'NN'), ('know', 'VBP'), ('probabl', 'NN'), ('secret', 'JJ'), ('cure', 'NN')]",everyon avoid drink corona beer caus corona viru littl know probabl secret cure,"{'polarity': -0.4, 'subjectivity': 0.7}",Negative
190,So what are people gonna do with their new medical supplies closets once the Corona Virus attention dies down and they realize all they needed to do was was their hands?,"[('peopl', 'NN'), ('medic', 'JJ'), ('suppli', 'NN'), ('closet', 'NN'), ('corona', 'NN'), ('viru', 'FW'), ('attent', 'NN'), ('die', 'NN'), ('realiz', 'VBP'), ('need', 'NN'), ('hand', 'NN')]",peopl medic suppli closet corona viru attent die realiz need hand,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
191,https://t.co/s6syiEkk5Z,"[('http', 'NN'), ('syiekk', 'NN')]",http syiekk,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
192,@DanielleFong Covid funerals are closed casket \xf0\x9f\x98\xa5,"[('daniellefong', 'RB'), ('covid', 'JJ'), ('funer', 'NN'), ('close', 'JJ'), ('casket', 'NN')]",daniellefong covid funer close casket,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
193,The levels of fucked up here are off the charts. How is this real.,"[('level', 'NN'), ('fuck', 'VBD'), ('chart', 'JJ'), ('real', 'JJ')]",level fuck chart real,"{'polarity': -0.1, 'subjectivity': 0.45}",Negative
194,Don\xe2\x80\x99t forget the fast food workers who are still working because of greedy companies! -it\xe2\x80\x99s not really essential bu\xe2\x80\xa6 https://t.co/Xj0jshxP7r,"[('forget', 'VB'), ('fast', 'JJ'), ('food', 'NN'), ('worker', 'NN'), ('still', 'RB'), ('work', 'VB'), ('greedi', 'JJ'), ('compani', 'NNS'), ('realli', 'VBP'), ('essenti', 'JJ'), ('http', 'NN'), ('jshxp', 'NN')]",forget fast food worker still work greedi compani realli essenti http jshxp,"{'polarity': 0.2, 'subjectivity': 0.6}",Positive
195,I\xe2\x80\x99m I allowed to have an exceptionally good day while #COVID19 brings the world to its knees? Because I\xe2\x80\x99m having an exceptionally good day.,"[('allow', 'JJ'), ('except', 'IN'), ('good', 'JJ'), ('covid', 'NN'), ('bring', 'NN'), ('world', 'NN'), ('knee', 'NN'), ('becaus', 'NN'), ('except', 'IN'), ('good', 'JJ')]",allow except good covid bring world knee becaus except good,"{'polarity': 0.7, 'subjectivity': 0.6000000000000001}",Positive
196,No @IlhanMN you big dope....that is China!,"[('ilhanmn', 'JJ'), ('dope', 'NN'), ('china', 'NN')]",ilhanmn dope china,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
197,Lit,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
198,Some of the last people on earth to hear about the #coronavirus pandemic are going to be told on live TV 'Big Brother' contestants to be told about coronavirus on air - CNN https://t.co/PWLMC7jEVP,"[('some', 'DT'), ('last', 'JJ'), ('peopl', 'JJ'), ('earth', 'NN'), ('hear', 'VBP'), ('coronaviru', 'NN'), ('pandem', 'NN'), ('go', 'VBP'), ('told', 'RB'), ('live', 'VBP'), ('brother', 'NN'), ('contest', 'NN'), ('told', 'VBD'), ('coronaviru', 'NN'), ('http', 'NN'), ('pwlmc', 'NN'), ('jevp', 'NN')]",last peopl earth hear coronaviru pandem go told live brother contest tell coronaviru http pwlmc jevp,"{'polarity': 0.06818181818181818, 'subjectivity': 0.2833333333333333}",Positive
199,Is corona virus not a thing in jail/prison?,"[('corona', 'NN'), ('viru', 'JJ'), ('thing', 'NN'), ('jail', 'NN'), ('prison', 'NN')]",corona viru thing jail prison,"{'polarity': -0.1, 'subjectivity': 0.0}",Negative
200,@SecPompeo If you are trying to combat \xe2\x80\x9cmisinformation\xe2\x80\x9d then end your tweet using a name for the Coronavirus that is completely outside of the norm...   it sort of makes you look like part of the problem that you speak of. \xf0\x9f\xa7\x90\xf0\x9f\xa7\x90\xf0\x9f\xa7\x90\xf0\x9f\xa7\x90,"[('secpompeo', 'NN'), ('tri', 'NN'), ('combat', 'NN'), ('cmisinform', 'NN'), ('tweet', 'NN'), ('use', 'NN'), ('name', 'NN'), ('coronaviru', 'JJ'), ('complet', 'NN'), ('outsid', 'NN'), ('norm', 'NN'), ('sort', 'NN'), ('make', 'VBP'), ('look', 'NN'), ('like', 'IN'), ('part', 'NN'), ('problem', 'NN'), ('speak', 'NN')]",secpompeo tri combat cmisinform tweet use name coronaviru complet outsid norm sort make look like part problem speak,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
201,@victornizet @inflazome it\xe2\x80\x99s very interesting how bats are able to tamp down the inflammation caused by all these deadly viruses. But this alone might not be enough for humans as we see more and more a role fo IL-6 in promoting COVID-19 associated pathology. Maybe inhibitor to both more effective ?,"[('victornizet', 'NN'), ('inflazom', 'JJ'), ('interest', 'NN'), ('bat', 'NN'), ('abl', 'NN'), ('tamp', 'NN'), ('inflamm', 'NN'), ('caus', 'NN'), ('deadli', 'NN'), ('virus', 'NN'), ('alon', 'NN'), ('might', 'MD'), ('enough', 'RB'), ('human', 'JJ'), ('role', 'NN'), ('promot', 'NN'), ('covid', 'NN'), ('associ', 'NN'), ('patholog', 'NN'), ('mayb', 'NN'), ('inhibitor', 'NN'), ('effect', 'NN')]",victornizet inflazom interest bat abl tamp inflamm caus deadli virus alon might enough human role promot covid associ patholog mayb inhibitor effect,"{'polarity': 0.0, 'subjectivity': 0.3}",Neutral
202,Say no m\xc3\xa1s!,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
203,It can't just be IT stepping up. All #business needs to move towards a bulk of their jobs converting to #remotework it saves companies on so many levels and helps #FlattenTheCurve of #COVID19,"[('step', 'NN'), ('busi', 'NNS'), ('need', 'VBP'), ('move', 'VB'), ('toward', 'IN'), ('bulk', 'JJ'), ('job', 'NN'), ('convert', 'JJ'), ('remotework', 'NN'), ('save', 'VBP'), ('compani', 'VBN'), ('mani', 'JJ'), ('level', 'NN'), ('help', 'NN'), ('flattenthecurv', 'VB'), ('covid', 'NN')]",step busi need move toward bulk job convert remotework save compani mani level help flattenthecurv covid,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
204,This how ratatouille is before he starts cookin,"[('thi', 'NN'), ('ratatouil', 'JJ'), ('start', 'NN'), ('cookin', 'NN')]",thi ratatouil start cookin,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
205,@LauraMcF76 starting a movement... #Trump supports STILL defending him amid his decisions for #COVID19 containment #DroppedOnYourHeadAsBabies,"[('lauramcf', 'JJ'), ('start', 'NN'), ('movement', 'NN'), ('trump', 'NN'), ('support', 'NN'), ('still', 'RB'), ('defend', 'VB'), ('amid', 'IN'), ('decis', 'JJ'), ('covid', 'NN'), ('contain', 'NN'), ('droppedonyourheadasbabi', 'NN')]",lauramcf start movement trump support still defend amid decis covid contain droppedonyourheadasbabi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
206,OMG. Not at all. Theyve got acesss to the best health care in the country,"[('theyv', 'NN'), ('acesss', 'NN'), ('best', 'JJS'), ('health', 'NN'), ('care', 'NN'), ('countri', 'NN')]",theyv ace best health care countri,"{'polarity': 1.0, 'subjectivity': 0.3}",Positive
207,Wonderful!,"[('wonder', 'NN')]",wonder,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
208,.....so far.....,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
209,God please shut the fuck up,"[('pleas', 'NNS'), ('shut', 'VBP'), ('fuck', 'NN')]",plea shut fuck,"{'polarity': -0.4, 'subjectivity': 0.6}",Negative
210,Can\xe2\x80\x99t wait to listen to the @Freakonomics episode about #coronavirus in a couple years.,"[('wait', 'NN'), ('listen', 'VBZ'), ('freakonom', 'JJ'), ('episod', 'NN'), ('coronaviru', 'NN'), ('coupl', 'NN'), ('year', 'NN')]",wait listen freakonom episod coronaviru coupl year,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
211,To the people pointing out how clean the air is and how much lower emissions are due to COVID19 \xe2\x80\x94 you realize we don\xe2\x80\x99t need a deadly virus to achieve this. This is what the world could be like if humanity would fully embrace the sustainability solutions we already have available.,"[('peopl', 'NNS'), ('point', 'VBP'), ('clean', 'JJ'), ('much', 'JJ'), ('lower', 'JJR'), ('emiss', 'NN'), ('covid', 'NN'), ('realiz', 'VBP'), ('need', 'NN'), ('deadli', 'NN'), ('viru', 'FW'), ('achiev', 'NN'), ('thi', 'NN'), ('world', 'NN'), ('could', 'MD'), ('like', 'VB'), ('human', 'JJ'), ('would', 'MD'), ('fulli', 'VB'), ('embrac', 'RB'), ('sustain', 'JJ'), ('solut', 'JJ'), ('alreadi', 'NN'), ('avail', 'NN')]",peopl point clean much low emiss covid realiz need deadli viru achiev thi world could like human would fulli embrac sustain solut alreadi avail,"{'polarity': 0.12222222222222223, 'subjectivity': 0.3666666666666667}",Positive
212,Wow,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
213,Reallyyyy over this corona crap,"[('reallyyyy', 'NN'), ('corona', 'NN'), ('crap', 'NN')]",reallyyyy corona crap,"{'polarity': -0.8, 'subjectivity': 0.8}",Negative
214,My heart is so happy! I \xe2\x9d\xa4\xef\xb8\x8f @SaintJohns2 #HealthcareHeroes #SantaMonica,"[('heart', 'NN'), ('happi', 'NN'), ('saintjohn', 'NN'), ('healthcarehero', 'NN'), ('santamonica', 'NN')]",heart happi saintjohn healthcarehero santamonica,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
215,Alsoooo with the Corona Virus ain\xe2\x80\x99t no one gonna be traveling no where LMAOOO so sit your asses inside and do some wholesome shit like read a book perhaps?! \xf0\x9f\xa4\x94,"[('alsoooo', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('travel', 'NN'), ('lmaooo', 'JJ'), ('ass', 'NN'), ('insid', 'NN'), ('wholesom', 'VBP'), ('shit', 'VBN'), ('like', 'IN'), ('read', 'JJ'), ('book', 'NN'), ('perhap', 'NN')]",alsoooo corona viru travel lmaooo as insid wholesom shit like read book perhap,"{'polarity': -0.2, 'subjectivity': 0.8}",Negative
216,Ahhhhh DEADASS \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80 https://t.co/vS1JXfYqDS,"[('ahhhhh', 'JJ'), ('deadass', 'NN'), ('http', 'NN'), ('jxfyqd', 'NN')]",ahhhhh deadass http jxfyqd,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
217,#filmmyhospital  Wonder why this parking lot isn\xe2\x80\x99t jammed packed like it always is?!#nwo #plandemic #covidhoax. Don\xe2\x80\x99t get me wrong there is a virus called #covid19 that is killing people but it\xe2\x80\x99s not even close to the severity the #media has it hyped up! #instillingfear #5G https://t.co/sNkI9Qwu4J,"[('filmmyhospit', 'JJ'), ('wonder', 'NN'), ('park', 'NN'), ('jam', 'NN'), ('pack', 'NN'), ('like', 'IN'), ('alway', 'RB'), ('plandem', 'JJ'), ('covidhoax', 'NN'), ('wrong', 'JJ'), ('viru', 'NN'), ('call', 'NN'), ('covid', 'NN'), ('kill', 'NN'), ('peopl', 'VB'), ('even', 'RB'), ('close', 'RB'), ('sever', 'JJ'), ('media', 'NNS'), ('hype', 'NN'), ('instillingfear', 'VBP'), ('http', 'NN'), ('snki', 'NN')]",filmmyhospit wonder park jam pack like alway plandem covidhoax wrong viru call covid kill peopl even close sever medium hype instillingfear http snki,"{'polarity': -0.5, 'subjectivity': 0.9}",Negative
218,I highly doubtful of pax west because of things from June and July getting canned \xf0\x9f\x98\x9f and even if Raj isn't canceled I probably gonna have to stay in my own room this time cause ya know . Getting covid cause of my asthma would not be fun at all \xf0\x9f\x98\xb7,"[('highli', 'NN'), ('doubt', 'NN'), ('west', 'JJ'), ('thing', 'NN'), ('june', 'NN'), ('juli', 'NNS'), ('get', 'VBP'), ('can', 'MD'), ('even', 'RB'), ('cancel', 'VB'), ('probabl', 'NN'), ('stay', 'NN'), ('room', 'NN'), ('time', 'NN'), ('caus', 'NN'), ('know', 'VBP'), ('get', 'VB'), ('covid', 'JJ'), ('caus', 'NN'), ('asthma', 'NN'), ('would', 'MD')]",highli doubt west thing june juli get even cancel probabl stay room time caus know get covid caus asthma would,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
219,Only debit in this hoe\xf0\x9f\x98\x82,"[('onli', 'JJ'), ('debit', 'NN')]",onli debit,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
220,This is so true! He did not take it seriously in the beginning when it mattered most! Calling it a hoax! Now he\xe2\x80\x99s trying to take credit for the hard work of others!!!,"[('thi', 'NN'), ('true', 'JJ'), ('take', 'VBP'), ('serious', 'JJ'), ('begin', 'VBP'), ('matter', 'NN'), ('call', 'NN'), ('hoax', 'VBZ'), ('tri', 'NNS'), ('take', 'VB'), ('credit', 'NN'), ('hard', 'JJ'), ('work', 'NN'), ('other', 'JJ')]",thi true take serious begin matter call hoax tri take credit hard work,"{'polarity': -0.09166666666666667, 'subjectivity': 0.6194444444444445}",Negative
221,https://t.co/Nvqo9YDkXZ,"[('http', 'NN'), ('nvqo', 'NN'), ('ydkxz', 'NN')]",http nvqo ydkxz,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
222,Little bit of both prolly,"[('littl', 'NN'), ('prolli', 'NN')]",littl prolli,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
223,\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xf0\x9f\x92\xaf Much Respect @ELITHEMAN1,"[('much', 'JJ'), ('respect', 'NN'), ('elitheman', 'NN')]",much respect elitheman,"{'polarity': 0.2, 'subjectivity': 0.2}",Positive
224,Rudy Gobert touching all the microphones Monday and little did he know he had the virus and it was already incubating in his body.  What a dumbass.,"[('rudi', 'NN'), ('gobert', 'NN'), ('touch', 'NN'), ('microphon', 'NN'), ('monday', 'JJ'), ('littl', 'NN'), ('know', 'VBP'), ('viru', 'NN'), ('alreadi', 'NN'), ('incub', 'NN'), ('bodi', 'VBD'), ('what', 'WP'), ('dumbass', 'NN')]",rudi gobert touch microphon monday littl know viru alreadi incub bodi dumbass,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
225,@tfslaw82 @politicalelle Really? Was it? https://t.co/gHunTTe6GM,"[('tfslaw', 'NN'), ('politicalel', 'NN'), ('realli', 'NN'), ('http', 'NN'), ('ghuntt', 'NN')]",tfslaw politicalel realli http ghuntt,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
